I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ",What do you use AI for most often? (Select all that apply),"In general, how confident do you feel using AI tools?  ",AI providing health or wellbeing advice ,AI making recommendations about money or finance ,AI influencing work-related decisions ,AI interacting with children or young people ,AI generating information that might be inaccurate ,AI forming opinions about someone based on personal data ,An AI tool taking small actions independently (e.g. drafting content without asking) ,An AI tool making decisions for you when you haven’t given explicit approval ,An AI tool remembering past conversations and using them to guide new ones ,An AI tool suggesting actions you did not expect or ask for ,I feel uneasy when an AI tool responds inconsistently to the same question. ,Sudden changes in tone or behaviour from AI make me question its reliability. ,"I prefer AI tools that behave predictably, even if they are less powerful. ",AI talking in a highly emotional or personal way ,AI using personal details to tailor responses ,AI giving strong opinions about sensitive topics ,AI becoming overly confident in its answers ,I sometimes overlook potential risks because AI tools make my tasks easier.  ,The convenience of AI is worth accepting some level of uncertainty. ," An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure)  ",An AI tool proactively warning you about potential risks in your behaviour ,An AI tool predicting your future choices based on past interactions ,I expect AI systems to become safer over time. ,I am more concerned about future AI than the AI we have today., I double-check AI information with other sources.  ,I avoid certain questions or topics with AI because I’m unsure how it will respond. ,I reduce how much I use AI when it feels unpredictable or confusing. ,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional) , How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Everyday,7–8 hours,"Information or research, Emotional support or conversation, Decision-making",5,7,7,7,7,5,4,4,3,5,3,6,6,4,7,6,5,4,3,3,6,5,5,7,7,6,6,6,It sucks at shutting down spiritual beliefs. Believing in Jesus is cool but the minute I mention believing in other beings I'm nuts. ,3,6,6,4,"Honesty, Non-harm, Transparency",35 - 44,Non-binary,US,Bachelor’s degree,Employed part-time,6
Yes,Occasionally,5–6 hours,"Creative projects, Decision-making, Learning or studying",5,3,5,4,6,6,4,2,2,4,2,5,6,5,5,4,3,4,6,4,3,5,4,4,6,2,4,5,No,4,3,5,4,"Honesty, Responsibility, Accountability",25 - 34,Woman,Canada,Bachelor’s degree,Employed part-time,3
Yes,Often,9–10 hours,"Information or research, Work tasks",6,4,4,5,7,7,6,1,1,5,1,5,6,6,1,4,4,1,2,2,1,1,1,1,6,7,5,6,no,3,4,6,1,"Responsibility, Transparency, Accountability",18 - 24,Woman,Canada,Some university/college,Student,4
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Learning or studying",6,4,5,5,2,5,5,5,6,3,3,6,6,5,6,3,4,4,5,5,4,4,5,5,4,6,2,5,N/a,5,6,5,5,"Honesty, Responsibility, Transparency",35 - 44,Man,UK,Some university/college,Employed full time,6
Yes,Very often,9–10 hours,"Information or research, Learning or studying",4,5,6,6,5,7,7,4,1,1,1,6,6,6,1,1,1,1,4,1,1,1,1,4,6,7,7,7,None,1,7,1,4,"Non-harm, Transparency",35 - 44,Woman,US,Some university/college,Self-employed / freelance,7
Yes,Occasionally,2–4 hours,"Emotional support or conversation, Entertainment",5,4,4,4,7,7,7,2,1,4,1,7,7,4,5,3,2,4,4,4,6,6,4,4,7,7,4,4,It can be risky but it has also its advantage. Any individual who uses AI must always consider the risks and should always seek other  resources from humans.,4,7,1,5,"Non-harm, Transparency, Accountability",45 - 54,Woman,UK,High school,Other,6
Yes,Occasionally,9–10 hours,"Work tasks, Entertainment",4,7,7,6,6,7,7,5,2,5,5,4,5,4,4,3,1,1,4,3,4,5,4,6,6,7,5,6,"N/A
",4,6,4,3,"Honesty, Non-harm, Transparency",18 - 24,Woman,Canada,Bachelor’s degree,Not currently working,5
Yes,Often,7–8 hours,"Work tasks, Creative projects, Decision-making, Learning or studying",5,5,5,3,4,5,5,5,5,6,4,5,6,3,5,2,5,4,6,6,6,5,4,3,5,2,5,2,"Sometimes I worry that AI gives out wrong information. Sometimes, it changed its answer after you've corrected it, and act like it was not wrong in the first place.",3,5,5,4,"Fairness, Transparency, Accountability",18 - 24,Woman,US,Bachelor’s degree,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",5,6,3,4,6,7,5,6,6,5,6,6,6,7,2,3,3,2,5,5,6,3,5,5,5,5,2,3,"I worry about it political leanings, we see on algorithms such as X and the news how information is clearly shared to fit the agenda of the people funding it , I worry if there were a monopoly over it or it being developed to think uncritically ",5,6,3,5,"Honesty, Responsibility, Transparency",25 - 34,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Often,7–8 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",5,2,5,4,5,6,5,3,2,4,3,5,6,7,2,7,3,5,5,6,6,7,6,5,5,7,3,2,N/A,5,5,6,4,"Honesty, Human wellbeing, Transparency",25 - 34,Man,Canada,Bachelor’s degree,Employed full time,6
Yes,Very often,2–4 hours,"Work tasks, Decision-making, Learning or studying",5,4,4,5,5,5,4,5,6,4,4,5,5,4,4,4,6,6,3,4,3,4,3,6,4,5,5,4,no i use it as and when and happy with its answers ,4,5,5,5,"Honesty, Human wellbeing, Non-harm",55 - 65,Woman,UK,High school,Employed part-time,6
Yes,Very often,More than 12 hours,"Work tasks, Decision-making, Learning or studying",6,4,4,3,4,4,5,7,5,7,7,4,1,2,4,6,4,4,4,6,5,5,4,4,1,4,1,2,not very concerned with the safety of it when you understand its just an LLM,6,7,1,5,"Transparency, Accountability",35 - 44,Man,Australia,High school,Self-employed / freelance,7
Yes,Occasionally,5–6 hours,Information or research,4,1,3,2,1,6,7,2,1,4,2,7,6,4,1,4,2,2,3,2,1,5,2,2,7,6,4,6,I'm just generally uncomfortable with AI. It's fine for mundane tasks such as a recent one I did to come up with a name for a trivia group. But I don't trust AI for tasks that could have serious or negative outcomes.,2,6,2,1,"Honesty, Non-harm, Transparency",Over 65,Woman,US,Some university/college,Employed part-time,6
Yes,Everyday,2–4 hours,"Information or research, Emotional support or conversation, Entertainment, Learning or studying",5,6,5,4,2,6,4,2,1,4,2,6,7,4,4,1,5,6,2,6,5,6,4,6,4,7,2,6,No.,4,7,2,5,"Honesty, Transparency, Accountability",25 - 34,Man,US,Postgraduate degree,Employed part-time,6
Yes,Sometimes,7–8 hours,Information or research,5,4,5,5,7,7,7,2,1,3,3,6,6,5,7,7,7,7,4,3,2,4,2,3,7,5,5,4,No,4,5,3,2,"Honesty, Responsibility, Human wellbeing",25 - 34,Woman,New Zealand,Bachelor’s degree,Employed full time,5
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Decision-making, Texts to people",5,5,5,1,3,5,4,4,5,7,4,6,6,4,5,5,5,4,6,6,5,5,6,6,5,3,4,2,I do not care about privacy tbh. I'd rather they just use it all and make life easier. Down with capitalism and the reliance of working hustle cuture all the time,4,2,4,6,"Honesty, Responsibility, Transparency",25 - 34,Woman,Australia,Bachelor’s degree,Employed part-time,3
Yes,Often,7–8 hours,"Information or research, Emotional support or conversation, Entertainment, Learning or studying",7,2,2,2,4,5,2,6,5,7,6,4,7,5,6,7,6,6,5,4,7,6,6,7,1,2,2,6,Nothing to add.,7,5,6,6,"Honesty, Non-harm, Transparency",35 - 44,Man,US,Postgraduate degree,Self-employed / freelance,5
Yes,Everyday,9–10 hours,"Information or research, Work tasks, Creative projects, Decision-making, Entertainment, Learning or studying",7,5,5,6,5,6,6,6,6,5,6,7,6,5,3,6,6,6,4,5,6,6,5,6,7,5,5,5,I think AI should be regulated in our society,5,6,7,5,"Honesty, Transparency, Accountability",25 - 34,Man,UK,Postgraduate degree,Employed full time,6
Yes,Sometimes,7–8 hours,"Information or research, Work tasks",5,5,6,3,6,6,7,3,1,4,4,6,6,7,2,5,5,3,5,5,4,5,5,7,3,6,5,5,no,5,6,1,5,"Honesty, Fairness, Human wellbeing",55 - 65,Man,UK,High school,Employed full time,6
Yes,Often,Less than 2 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,4,3,2,6,5,5,3,2,2,4,7,7,5,2,3,3,1,6,5,6,6,4,3,6,4,5,5,Misleading the younger generation,5,6,5,5,"Honesty, Non-harm, Accountability",35 - 44,Woman,US,Postgraduate degree,Employed full time,3
Yes,Everyday,5–6 hours,Information or research,5,4,3,4,7,7,7,1,1,6,4,4,4,3,4,4,7,6,1,2,3,7,4,5,4,6,1,3,No,4,5,5,3,"Honesty, Responsibility, Non-harm",45 - 54,Woman,US,High school,Self-employed / freelance,4
Yes,Very often,5–6 hours,"Information or research, Work tasks, Learning or studying",6,4,4,2,2,3,2,6,6,6,6,5,5,5,5,6,6,5,3,5,6,6,6,7,2,6,3,5,n/a,6,6,5,5,"Honesty, Fairness, Transparency",18 - 24,Man,Australia,High school,Employed full time,6
Yes,Often,5–6 hours,"Information or research, Work tasks",5,4,4,3,6,6,7,3,2,5,4,6,4,5,4,4,2,4,5,4,4,3,2,4,6,5,3,6,No,4,6,5,3,"Honesty, Responsibility, Non-harm",35 - 44,Woman,UK,Bachelor’s degree,Employed part-time,4
Yes,Sometimes,2–4 hours,"Information or research, Work tasks",4,5,3,3,6,3,6,3,2,6,4,5,5,2,3,5,4,3,5,5,6,6,5,7,3,5,4,4,Currently not,5,5,3,4,"Honesty, Transparency, Accountability",25 - 34,Woman,UK,High school,Employed full time,5
Yes,Sometimes,5–6 hours,"Information or research, Work tasks, Decision-making, Entertainment, Learning or studying",6,5,5,4,6,5,4,5,6,3,4,4,4,5,2,4,5,5,3,3,4,5,2,5,4,5,1,2,No,4,6,5,2,"Responsibility, Human wellbeing, Accountability",25 - 34,Woman,Australia,Postgraduate degree,Employed full time,6
Yes,Often,9–10 hours,"Information or research, Work tasks, Decision-making, Entertainment, Learning or studying",6,5,4,4,6,5,5,2,2,3,4,5,6,5,2,3,2,3,2,4,3,3,3,4,5,5,4,4,None that I can think of :) thank you.,3,5,5,3,"Responsibility, Human wellbeing, Non-harm",25 - 34,Man,UK,Bachelor’s degree,Employed part-time,3
Yes,Occasionally,7–8 hours,"Information or research, Work tasks, Decision-making",5,5,5,5,6,5,6,3,1,4,3,2,4,4,4,2,3,3,6,5,4,5,5,5,5,5,4,5,No,5,4,5,4,"Honesty, Responsibility, Non-harm",25 - 34,Prefer not to say,Australia,Bachelor’s degree,Employed full time,5
Yes,Everyday,2–4 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",7,2,2,2,6,4,5,2,1,3,2,5,5,6,6,5,4,4,1,5,6,7,4,6,1,5,5,4,I think for the most part AI can be trusted ,6,5,3,6,"Honesty, Responsibility, Accountability",55 - 65,Woman,US,High school,Not currently working,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Emotional support or conversation, Decision-making",6,3,3,2,4,5,3,6,2,6,6,4,4,5,6,6,4,3,6,6,6,7,5,6,7,5,2,5,None,5,7,6,6,"Responsibility, Non-harm, Transparency",35 - 44,Man,UK,Postgraduate degree,Employed full time,4
Yes,Often,9–10 hours,"Information or research, Work tasks, Learning or studying",6,6,3,6,7,6,6,6,7,2,4,3,3,2,6,2,6,7,6,6,3,6,6,6,3,4,1,6,No,2,7,6,5,"Responsibility, Transparency, Accountability",45 - 54,Man,UK,Postgraduate degree,Employed full time,2
Yes,Occasionally,7–8 hours,"Information or research, Translating",1,6,6,7,7,7,7,2,1,1,1,6,7,7,3,1,2,1,1,2,3,3,3,3,7,7,6,7,"I only use AI in VERY selective situations, it has proven too unreliable for anything of importance. The only reliable times I have used AI is when it is automating a highly repetitive and predictable task like populating spreadsheets, or translating forms.",1,5,4,1,"Transparency, Accountability, Accuracy!!!",35 - 44,Man,US,Postgraduate degree,Self-employed / freelance,7
Yes,Often,9–10 hours,"Information or research, Work tasks, Learning or studying",6,4,4,2,5,6,5,2,2,4,4,5,6,5,4,3,6,6,6,5,3,4,1,6,5,7,5,2,no,5,6,5,4,"Honesty, Responsibility, Transparency",18 - 24,Man,UK,Some university/college,Student,6
Yes,Often,2–4 hours,"Information or research, Decision-making",3,6,6,4,7,6,5,1,2,5,2,6,2,2,2,2,2,2,6,3,1,5,1,6,6,5,6,2,"i just think its so risky in the wrong hands, or people believing it 100%. these things are not100% accurate. im more specifically worried about the impact on kids, in fake ai videos and such, its scary.0",2,7,4,3,"Fairness, Respect, Transparency",35 - 44,Woman,Australia,High school,Other,4
Yes,Very often,Less than 2 hours,"Information or research, Work tasks, Creative projects, Learning or studying",6,3,4,3,5,6,6,2,1,3,1,6,7,5,7,4,6,6,4,3,6,5,4,7,7,6,4,6,none,5,7,2,4,"Honesty, Human wellbeing, Transparency",55 - 65,Man,UK,Postgraduate degree,Employed full time,6
Yes,Very often,9–10 hours,"Information or research, Work tasks, Learning or studying",6,5,6,3,3,6,6,5,3,7,7,2,2,2,5,7,5,5,5,6,6,6,7,7,4,6,2,2,I feel that concerns are inflated by the media.,4,6,4,6,"Fairness, Human wellbeing, Transparency",55 - 65,Man,Australia,Postgraduate degree,Employed full time,7
Yes,Sometimes,2–4 hours,"Information or research, Decision-making",5,3,3,4,2,4,4,3,2,3,5,3,5,4,5,5,4,5,5,5,5,6,4,6,6,2,2,4,No,5,6,5,3,"Empathy, Responsibility, Human wellbeing",45 - 54,Woman,Ireland,Bachelor’s degree,Employed full time,6
Yes,Sometimes,7–8 hours,"Information or research, Decision-making, Entertainment, Learning or studying",5,5,5,4,6,4,7,3,1,5,3,6,4,3,4,2,4,5,6,6,4,3,3,7,3,4,3,4,AI is our future. We need to embrace it and all work to make it the best it can be.,5,6,2,6,"Respect, Responsibility, Non-harm",55 - 65,Man,UK,Bachelor’s degree,Not currently working,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Learning or studying",5,5,4,3,6,5,6,2,1,6,3,6,6,6,1,5,2,7,2,3,5,6,5,7,6,5,1,6,I would like to know more about how AI works to generate responses. This might give me more confidence ,4,7,4,5,"Honesty, Responsibility, Transparency",45 - 54,Man,Australia,Postgraduate degree,Employed full time,7
Yes,Rarely,2–4 hours,Usually for interaction with customer services for various reasons ,5,6,6,5,7,7,4,1,1,1,1,6,7,6,6,6,7,7,1,1,5,3,2,3,6,6,3,6,"I am trying to maintain a positive attitude and opinion of AI due to its potential for improving medical diagnoses, however, I don't believe it should be in the hands of the public. Thank you ",2,6,4,2,"Responsibility, Non-harm, Accountability",Over 65,Woman,UK,Postgraduate degree,Self-employed / freelance,6
Yes,Often,9–10 hours,Information or research,5,3,4,4,6,5,6,5,1,3,3,5,5,3,6,3,5,4,4,4,2,5,4,4,6,5,1,1,I don't trust every answer that AI gives me therefore it's risky to trust AI.,2,5,2,5,"Honesty, Responsibility, Human wellbeing",55 - 65,Man,Canada,Some university/college,Not currently working,2
Yes,Occasionally,5–6 hours,Information or research,6,6,5,5,5,7,6,3,2,2,2,7,6,5,2,2,1,1,1,1,4,5,5,2,7,6,7,7,I'm worried long term for its safety,2,7,6,1,"Honesty, Empathy, Fairness",35 - 44,Man,UK,Some university/college,Self-employed / freelance,5
Yes,Never,2–4 hours,Learning or studying,2,7,7,6,7,6,7,2,1,3,1,7,7,7,1,3,1,4,1,1,2,1,2,1,6,2,1,4,No,1,4,4,1,"Honesty, Non-harm, Transparency",45 - 54,Man,UK,Other,Self-employed / freelance,4
Yes,Often,2–4 hours,Work tasks,5,5,6,4,4,6,4,5,6,5,6,6,6,5,2,4,1,2,2,2,3,4,4,5,6,6,4,6,No,5,6,6,4,"Responsibility, Non-harm, Accountability",45 - 54,Man,UK,Postgraduate degree,Employed full time,6
Yes,Sometimes,Less than 2 hours,"Information or research, Learning or studying",3,7,7,6,7,7,7,1,1,1,1,7,7,7,1,1,1,1,4,2,1,1,1,4,7,2,1,3,I am only comfortable using AI for general non life changing questions. ,4,6,3,1,"Non-harm, Accountability, privacy",55 - 65,Woman,US,High school,Employed full time,6
Yes,Occasionally,Less than 2 hours,"Information or research, Learning or studying",5,6,6,5,7,6,7,6,6,7,4,4,5,5,3,2,2,2,2,2,3,3,3,6,6,7,7,7,None noted,4,7,4,5,"Human wellbeing, Transparency, Accountability",35 - 44,Man,US,Bachelor’s degree,Employed full time,6
Yes,Very often,2–4 hours,"Information or research, Work tasks",5,6,6,5,5,6,6,3,3,3,3,6,4,6,3,4,3,3,3,4,4,4,2,2,6,6,3,6,"Worries about it taking peoples jobs, being too involved in people’s lives, use of personal information by ai companies to control people ",2,5,5,3,"Honesty, Human wellbeing, Transparency",18 - 24,Man,UK,Postgraduate degree,Employed full time,5
Yes,Very often,Less than 2 hours,"Information or research, Work tasks, Learning or studying",6,3,2,3,5,3,4,4,1,5,3,7,7,7,1,4,1,3,2,3,4,6,6,6,7,5,2,4,no,5,7,4,5,"Honesty, Fairness, Non-harm",25 - 34,Woman,US,Postgraduate degree,Employed full time,7
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",7,5,2,2,2,6,6,6,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,6,2,4,5,no,6,6,6,6,"Empathy, Non-harm, Transparency",18 - 24,Man,US,Bachelor’s degree,Employed full time,5
Yes,Often,2–4 hours,"Information or research, Emotional support or conversation, Decision-making",6,5,5,4,6,5,4,3,2,3,2,5,5,6,2,4,2,3,2,1,3,4,3,7,7,6,6,6,"I use it because it’s helpful, though I also hope it gets banned. ",3,6,5,2,"Honesty, Responsibility, Non-harm",25 - 34,Man,UK,High school,Employed full time,2
Yes,Never,9–10 hours,none,2,5,6,6,7,7,7,7,7,6,6,6,6,6,3,3,2,3,2,2,3,2,2,3,7,6,6,6,I don't find it useful.,2,6,3,2,"Honesty, Responsibility, Transparency",45 - 54,Woman,US,Bachelor’s degree,Employed part-time,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,2,2,6,7,5,5,4,2,5,6,6,6,6,6,6,6,5,6,5,5,6,6,6,5,5,3,5,"I'm concerned with IT corporations influencing the outcomes of AI to match their business and personal philosophies, as Elon Musk has with Grok. It completely undermines AI as a reliable tool.",5,7,5,6,"Honesty, Human wellbeing, Non-harm",45 - 54,Man,Australia,Some university/college,Self-employed / freelance,6
Yes,Often,2–4 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",5,3,4,3,7,7,7,1,1,7,4,3,6,6,4,3,3,4,5,5,6,7,7,7,5,3,3,5,No,5,7,2,6,"Honesty, Fairness, Transparency",25 - 34,Woman,UK,Bachelor’s degree,Employed full time,7
Yes,Often,5–6 hours,"Information or research, Creative projects",6,3,3,2,3,5,4,7,6,7,6,7,5,4,3,6,5,3,4,5,7,7,2,6,3,6,2,6,"I think the media grasp quite extreme situations where AI has shown unacceptable behaviour, which may unfairly promote the dangers of AI. I'd never thought look to AI for emetional support, but one day I needed some advice about something that I felt I couldn't reach out to my friends about. AI was extremely insightful and supportive and genuinely helped me through something that I felt really overwhelmed by. ",6,7,2,6,"Fairness, Human wellbeing, Non-harm",55 - 65,Woman,UK,High school,Self-employed / freelance,5
Yes,Often,5–6 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",6,7,4,4,7,7,7,1,1,4,3,7,6,1,6,5,5,4,5,6,7,7,4,6,7,6,6,6,None ,4,6,4,5,"Responsibility, Transparency, Accountability",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Sometimes,More than 12 hours,"Information or research, Learning or studying",5,4,3,4,7,7,4,1,1,7,7,7,4,4,1,4,1,1,1,5,3,7,1,4,5,6,2,3,"ChatGPT makes mistakes, but sounds very confident. Many people believe everything if it sounds confident.",4,7,1,4,"Human wellbeing, Non-harm, Transparency",Over 65,Woman,US,Postgraduate degree,Not currently working,7
Yes,Sometimes,5–6 hours,Work tasks,4,3,4,5,7,5,6,6,6,5,3,6,6,4,5,6,3,4,3,2,5,5,4,6,4,4,3,5,The recent news reports of young people using AI and commiting suicide concerns me a lot,3,5,3,4,"Honesty, Fairness, Human wellbeing",45 - 54,Woman,UK,Postgraduate degree,Employed full time,4
Yes,Often,7–8 hours,"Creative projects, Emotional support or conversation, Entertainment",7,4,4,5,6,5,6,2,1,7,4,7,6,2,6,6,4,1,2,4,2,5,4,4,7,6,4,2,n/a,1,6,7,1,"Fairness, Transparency, Accountability",35 - 44,Woman,US,Bachelor’s degree,Employed full time,4
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Learning or studying, Coding/Scripting",6,5,5,4,6,5,5,5,3,6,2,5,5,6,4,6,3,3,4,6,3,6,6,7,4,4,3,5,I believe that over time newer AI professionals or groups will emerge to set the guardrails in AI effectively as AI adoption becomes more prevalent.,5,6,3,6,"Fairness, Non-harm, Accountability",45 - 54,Man,New Zealand,Bachelor’s degree,Employed full time,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Decision-making",5,5,4,3,6,4,4,5,5,6,6,6,6,6,3,5,3,3,6,5,5,5,5,6,6,3,4,5, O,4,6,5,5,"Non-harm, Transparency, Accountability",25 - 34,Woman,Australia,Bachelor’s degree,Employed part-time,6
Yes,Occasionally,5–6 hours,"Work tasks, Emotional support or conversation, Entertainment",6,5,5,7,7,7,4,3,1,7,5,3,2,2,7,7,6,2,1,6,7,5,5,7,4,6,2,1,"I code, so I know it is good to always make backups and give sandboxed problems for it to solve 😬",4,5,3,5,"Honesty, Empathy, Human wellbeing",25 - 34,Woman,US,Bachelor’s degree,Self-employed / freelance,3
Yes,Often,2–4 hours,"Information or research, Emotional support or conversation, Decision-making",6,2,3,3,2,6,2,4,3,6,4,4,5,4,5,5,5,5,5,6,5,6,5,5,3,6,3,3,No,5,5,4,6,"Honesty, Empathy, Accountability",35 - 44,Man,US,Bachelor’s degree,Employed full time,3
Yes,Occasionally,5–6 hours,"Information or research, Learning or studying",5,3,3,4,4,5,3,4,4,5,5,2,3,3,2,5,3,4,5,5,4,5,5,6,2,5,2,2,no,6,6,2,6,"Honesty, Transparency, Accountability",55 - 65,Man,UK,Some university/college,Employed full time,7
Yes,Very often,2–4 hours,"Work tasks, Learning or studying",6,4,3,2,4,4,3,4,2,4,3,6,5,6,6,4,4,4,5,4,5,5,5,6,2,6,4,4,It is great for assessing factual data but not human feelings and/or emotions ,5,7,2,4,"Responsibility, Non-harm, Transparency",45 - 54,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Sometimes,7–8 hours,"Information or research, Creative projects, Decision-making, Entertainment, Learning or studying",4,5,5,5,6,5,5,1,1,5,4,5,6,4,3,4,4,4,4,4,5,5,5,5,7,4,3,3,"I am more worried about how many people will be out of work due to ai, now and more so in the future.",4,5,4,2,"Honesty, Fairness, Human wellbeing",55 - 65,Woman,US,Postgraduate degree,Employed full time,5
Yes,Everyday,Less than 2 hours,"Information or research, Work tasks, Entertainment, Learning or studying",7,3,3,4,5,6,3,2,2,4,3,5,3,5,3,6,5,4,4,5,5,5,4,6,2,2,2,2,happy with the current situation.,6,6,6,6,"Fairness, Responsibility, Non-harm",Over 65,Man,UK,Bachelor’s degree,Not currently working,7
Yes,Sometimes,9–10 hours,"Information or research, Work tasks",5,6,4,4,7,7,6,1,1,5,1,5,5,7,1,1,1,1,5,3,3,3,1,6,5,6,4,6,No,1,4,5,2,"Responsibility, Non-harm, Transparency",25 - 34,Woman,UK,Bachelor’s degree,Employed full time,4
Yes,Sometimes,5–6 hours,"Information or research, Work tasks, Emotional support or conversation",5,3,5,6,3,5,6,4,6,3,6,6,7,3,6,3,4,5,6,7,5,7,6,4,5,6,3,2,Nope,4,6,4,3,"Honesty, Empathy, Human wellbeing",18 - 24,Man,US,Some university/college,Employed part-time,5
Yes,Occasionally,11–12 hours,Information or research,4,6,7,7,7,7,7,6,7,5,5,2,1,5,4,3,5,5,5,3,6,6,5,4,7,5,2,4,no,6,2,7,2,"Honesty, Non-harm, Transparency",25 - 34,Woman,UK,High school,Self-employed / freelance,4
Yes,Sometimes,2–4 hours,"Information or research, Entertainment, Learning or studying",6,6,7,6,7,7,6,2,1,5,5,4,4,5,5,3,5,5,6,3,5,6,2,6,3,6,2,2,Na,5,4,3,3,"Responsibility, Transparency, Accountability",25 - 34,Man,UK,High school,Employed full time,5
Yes,Very often,2–4 hours,"Information or research, Learning or studying",4,5,3,5,7,7,6,7,7,4,1,7,5,4,4,5,3,2,2,3,3,5,5,5,7,7,4,6,No,5,7,5,5,"Responsibility, Human wellbeing, Accountability",35 - 44,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Very often,2–4 hours,"Information or research, Entertainment",6,6,6,5,4,6,3,1,1,6,4,7,7,7,3,7,4,2,5,7,7,7,7,4,5,5,3,4, N/a,5,5,3,5,"Honesty, Fairness, Non-harm",45 - 54,Woman,UK,Some university/college,Other,5
Yes,Everyday,Less than 2 hours,"Information or research, Work tasks, Decision-making",6,6,5,3,6,5,5,1,1,6,5,6,6,5,5,4,5,3,5,5,5,4,3,7,6,5,2,5,"I feel pretty safe doing most tasks, but will cross-check with other sources and avoid feeding it personal information.",5,7,5,6,"Fairness, Transparency",35 - 44,Man,Australia,Bachelor’s degree,Employed full time,5
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Learning or studying",7,3,3,2,5,7,3,2,2,7,7,6,5,6,5,7,6,7,7,6,6,6,7,7,3,6,2,2,none,6,6,6,6,"Responsibility, Transparency, Accountability",45 - 54,Man,US,Bachelor’s degree,Employed full time,5
Yes,Very often,5–6 hours,Information or research,5,3,5,3,6,5,4,5,1,7,5,6,4,4,5,7,4,4,3,5,2,3,6,4,3,4,6,3,none,4,3,5,5,"Responsibility, Non-harm, Transparency",45 - 54,Man,US,Bachelor’s degree,Not currently working,5
Yes,Often,2–4 hours,"Information or research, Learning or studying",5,5,6,4,7,6,5,3,2,1,2,5,6,6,4,4,3,2,3,3,5,5,3,5,6,4,2,3,I worry about AI stealing more and more jobs over time.,5,7,3,5,"Honesty, Human wellbeing, Transparency",25 - 34,Man,US,Some university/college,Not currently working,5
Yes,Sometimes,7–8 hours,"Information or research, Work tasks",5,4,4,3,4,7,6,3,1,2,3,6,2,4,2,5,2,2,3,4,1,2,1,5,3,7,1,7,no,3,2,7,3,"Responsibility, Human wellbeing, Transparency",25 - 34,Man,US,Bachelor’s degree,Self-employed / freelance,2
Yes,Sometimes,5–6 hours,Information or research,5,5,5,5,7,6,7,1,1,5,4,7,7,5,4,4,4,2,5,4,4,4,4,4,7,6,6,6,There need to be more safeguards,4,3,6,1,"Honesty, Transparency",45 - 54,Man,US,Some university/college,Employed part-time,2
Yes,Often,5–6 hours,"Information or research, Creative projects, Emotional support or conversation",5,4,4,4,5,5,6,3,1,7,5,6,6,7,4,6,4,3,5,3,6,6,3,3,7,5,1,4,No,4,6,4,3,"Honesty, Fairness, Transparency",45 - 54,Woman,US,Some university/college,Employed part-time,4
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Emotional support or conversation, Decision-making, Learning or studying",6,6,6,6,6,3,6,4,3,5,4,3,3,2,4,4,6,6,5,5,6,6,5,6,6,5,3,4,nil,5,7,2,5,"Non-harm, Transparency, Accountability",25 - 34,Man,UK,Postgraduate degree,Employed full time,7
Yes,Rarely,2–4 hours,Information or research,2,5,6,6,6,7,5,6,7,5,4,7,7,6,4,4,4,4,2,4,3,5,5,5,5,6,4,4,No,4,6,2,3,"Honesty, Transparency, Accountability",35 - 44,Woman,UK,Some university/college,Employed full time,6
